year	liberal_democracies	electoral_democracies	electoral_autocracies	closed_autocracies	no_regime_data
1926	86131699	279199459	111207880	1483923399	65482944
1927	86273792	279987348	101330746	1510575488	65929696
1928	86426192	283171279	101540888	1525022069	66383544
1929	86650720	286085961	101095257	1540969341	66882189
1930	86945958	276989939	67963277	1602231838	69936366
1931	87310525	279099364	102422639	1585328770	68015288
1932	87743066	304835914	93519367	1576150428	81268750
1933	88242256	230415954	173093566	1591662616	82126036
1934	88744858	228695473	99334637	1689168327	81893498
1935	89250897	229992232	115443665	1702679315	73046863
1936	89760403	231292368	121733914	1716805749	73774967
1937	90273399	207555391	148565644	1735765078	74512354
1938	90789921	208607879	156803813	1748882162	75259132
1939	91328954	197748419	108835231	1793328173	111855661
1940	70886801	159585076	113891423	1869590862	113403577
1941	71295141	161402340	116129338	1888155526	107806189
1942	71721114	163450942	115483903	1903785513	109445639
1943	72165160	161770188	108095575	1929555627	110172389
1944	72613366	164044017	104514802	1974777979	83709756
1945	73065790	173177850	200423304	1853490353	117256403
1946	90595467	175539888	666267800	1421003051	81642396
1947	141036185	231149938	610628584	1393626937	77604187
1948	141882420	234316393	249012107	1772998727	76438443
1949	216660299	234597515	244213710	1797809631	7540614
1950	217752268	239013080	306073249	1762035443	11731768
1951	218937442	242113961	701040463	1411408726	10533631
1952	305902556	634355365	299313351	1380619213	10671203
1953	308501916	644802308	282914741	1430559385	10830709
1954	311060654	655725936	294333718	1452724361	11002082
1955	313595373	668585136	379035563	1400624811	11179032
1956	323098933	752463790	324927834	1410593083	11359613
1957	325687104	766427122	374636557	1395009549	11545723
1958	328352785	697177772	503374097	1385039273	11742751
1959	331137834	717674609	512175096	1406630125	11958479
1960	334076179	730900350	528140469	1429632790	12410392
1961	337182402	744189813	446106390	1557179987	7184914
1962	340441917	758623092	397791843	1646198229	7365678
1963	343806679	781765084	470671106	1607205209	7552863
1964	347207268	817805706	458825226	1642410406	7729665
1965	350587982	832447119	442580130	1706083639	7884639
1966	356484045	853803944	428052334	1761569938	8012369
1967	359834729	869537677	430365236	1810913957	8118503
1968	363122424	885745085	446831607	1847683590	8216726
1969	574005213	693934640	446391014	1903023627	8326470
1970	632530783	655485967	439888336	1964069950	8710640
1971	637855227	670748338	563377910	1895428907	8349648
1972	643103624	685611373	556044253	1958404659	8486676
1973	648216764	688343029	664424003	1918162052	8634670
1974	653111885	733528585	659683185	1938776318	18694205
1975	657735338	136221810	1342124488	1924293871	19104966
1976	695460615	88470122	1340787145	2010413499	19535443
1977	709401629	731298450	741752085	2027070715	19983038
1978	713840250	785236139	712378632	2072637762	20440814
1979	718153256	803138332	831349315	2006965568	20899709
1980	722402394	796109318	951675819	1966464138	21623283
1981	726605505	820851382	872309250	2095427669	21802810
1982	730770085	830063952	815507167	2218793080	22252240
1983	773349612	810519152	839117025	2253903810	22679585
1984	777735234	861461770	829811043	2291945234	23058231
1985	782175379	884022414	893941966	2287407967	23373939
1986	789716578	906973762	1136876490	2103390631	23610537
1987	794324930	1067036472	1014278382	2153096521	23785689
1988	799032712	1250167385	896708968	2175556639	23960288
1989	806898450	1273011502	972624220	2160689889	24217372
1990	865524274	1334486371	1009216304	2093389689	24912440
1991	883233668	1424057778	1153265018	1928556496	25176422
1992	888701370	1702859486	974093183	1907385170	25880682
1993	936901772	1560183337	1146385853	1911449793	26676841
1994	942870555	1657285065	1224501246	1825951393	12542167
1995	948742158	1754683860	1247999219	1780004752	12782940
1996	1012736421	1877876361	1181655856	1739594034	13029255
1997	1019326528	1919596807	1230478653	1722364771	13278888
1998	1025815001	1964863417	1241812829	1739394019	12908806
1999	1037682192	2221092460	996220600	1796099468	13144310
2000	1066163865	2247950115	992281450	1823737580	13643611
2001	1072859515	2270719138	1020689790	1844803649	13840367
2002	1079588784	2186519707	1292702970	1729233939	14016810
2003	1107132489	2178976999	1339378530	1741809194	14180080
2004	1115556578	2124423930	1466031802	1741101689	14340654
2005	1123120545	2134516397	1549017449	1721045094	14505845
2006	1133062388	2145499443	1663730137	1666849204	14678229
2007	1140869318	2170151716	1493836525	1886538984	14854696
2008	1148685917	2261541765	1692400889	1671736410	15031399
2009	1156366991	2232935507	1766316160	1702257117	15202033
2010	1155863699	2431807987	1655067139	1699036582	15362114
2011	1163063543	2434810935	1778260754	1649863170	15511089
2012	1169974172	2667813001	1701956981	1570748178	15652345
2013	1125484886	2607793100	1769966657	1691871990	15783524
2014	1133426617	2710042396	1743259245	1692980405	15901602
2015	1101068511	2737155002	1822469936	1703418802	16005619
2016	1062978133	2809251591	1741507926	1834514027	16092555
2017	1095302086	2819316059	1771188450	1846209504	16166490
2018	1089845401	2743798422	1923906940	1857623674	15916673
2019	1075683551	1365568207	3366181370	1890023497	16011578
2020	1067360224	1435304399	3366054285	1909939094	16140723
